Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-22,158.23,160.0,158.02,159.78,21604585.0,0.0,1.0,37.80748394584328,38.23040783249021,37.75730653556314,38.17784102172053,86418340.0
2017-08-21,157.5,157.89,155.1101,157.21,26368528.0,0.0,1.0,37.63305771010754,37.72624432919924,37.062014887114614,37.56376509591116,105474112.0
2017-08-18,157.86,159.5,156.72,157.5,27428069.0,0.0,1.0,37.71907612773065,38.110937808013674,37.44668447192416,37.63305771010754,109712276.0
2017-08-17,160.52,160.71,157.84,157.86,27940565.0,0.0,1.0,38.3546566579458,38.400055267246884,37.71429732675159,37.71907612773065,111762260.0
2017-08-16,161.94,162.51,160.15,160.95,27671612.0,0.0,1.0,38.69395152745915,38.83014735536239,38.26624883983317,38.457400878995614,110686448.0
2017-08-15,160.66,162.195,160.14,161.6,29465487.0,0.0,1.0,38.38810826479923,38.75488123994218,38.26385943934363,38.61271191081511,117861948.0
2017-08-14,159.32,160.21,158.75,159.85,22122734.0,0.0,1.0,38.06792859920212,38.28058524277035,37.931732771298876,38.19456682514724,88490936.0
2017-08-11,156.6,158.5728,156.07,157.48,26257096.0,0.0,1.0,37.418011666049786,37.88939259462439,37.291373440104664,37.62827890912848,105028384.0
2017-08-10,159.9,160.0,154.63,155.32,40804273.0,0.63,1.0,38.2065138275949,38.23040783249021,36.94729976961225,37.112168403389866,163217092.0
2017-08-09,159.26,161.27,159.11,161.059998,26131530.0,0.0,1.0,37.899864956228726,38.378194282877104,37.86416873782214,38.32821910115829,104526120.0
2017-08-08,158.6,161.83,158.27,160.08,36205896.0,0.0,1.0,37.74280159523971,38.511460164928394,37.664269914745205,38.095004283518115,144823584.0
2017-08-07,157.06,158.92,156.6701,158.81,21870321.0,0.0,1.0,37.37632041959867,37.81895352784044,37.28353404922046,37.79277630100894,87481284.0
2017-08-04,156.07,157.4,155.69,156.39,20559852.0,0.0,1.0,37.14072537811514,37.457231847986954,37.05029495815177,37.21687731071588,82239408.0
2017-08-03,157.05,157.21,155.02,155.57,27097296.0,0.0,1.0,37.3739406717049,37.41201663800527,36.890851849268984,37.02173798342649,108389184.0
2017-08-02,159.28,159.75,156.16,157.14,69936800.0,0.0,1.0,37.90462445201628,38.01647260302361,37.1621431091591,37.395358402748855,279747200.0
2017-08-01,149.1,150.22,148.41,150.05,35368645.0,0.0,1.0,35.48204109615536,35.748572860257944,35.31783849148503,35.708117146063806,141474580.0
2017-07-31,149.9,150.33,148.13,148.73,19845920.0,0.0,1.0,35.67242092765721,35.77475008708945,35.25120555045938,35.393990424085764,79383680.0
2017-07-28,149.89,150.23,149.19,149.5,17213653.0,0.0,1.0,35.67004117976343,35.750952608151714,35.503458827199324,35.577231011906285,68854612.0
2017-07-27,153.75,153.99,147.3,150.56,32476337.0,0.0,1.0,36.58862386675981,36.645737816210364,35.05368647527623,35.82948428864623,129905348.0
2017-07-26,153.35,153.93,153.06,153.46,15780951.0,0.0,1.0,36.49343395100889,36.631459328847725,36.424421262089474,36.519611177840396,63123804.0
2017-07-25,151.8,153.84,151.8,152.74,18853932.0,0.0,1.0,36.12457302747408,36.610041597803765,36.12457302747408,36.34826932948874,75415728.0
2017-07-24,150.58,152.44,149.9,152.09,21493160.0,0.0,1.0,35.834243784433774,36.276876892675546,35.67242092765721,36.19358571639349,85972640.0
2017-07-21,149.99,150.44,148.88,150.27,26252630.0,0.0,1.0,35.69383865870117,35.800927313920944,35.429686642492356,35.760471599726806,105010520.0
