Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-10-25,156.01,156.37,153.06,153.495,5444800.0,0.0,1.0,130.76252498621886,131.0642653169351,128.28993060951643,128.65453350913188,5444800.0
2017-10-24,159.65,159.7,155.171,155.88,8193352.0,0.0,1.0,133.81345499679406,133.85536337606018,130.05930238213298,130.65356320012688,8193352.0
2017-10-23,162.05,162.51,159.54,159.55,5778878.0,0.0,1.0,135.82505720156894,136.21061429081743,133.72125656240854,133.72963823826177,5778878.0
2017-10-20,161.07,162.48,159.77,162.07,7868803.0,0.0,1.0,135.00365296795252,136.18546926325774,133.91403510703282,135.84182055327537,7868803.0
2017-10-19,159.8,160.96,159.085,160.9,9911920.0,0.0,1.0,133.9391801345925,134.911454533567,133.33989031108666,134.86116447844765,9911920.0
2017-10-18,157.12,161.23,156.95,159.53,30490192.0,0.0,1.0,131.69289100592724,135.13775978160416,131.55040251642234,133.7128748865553,30490192.0
2017-10-17,146.63,147.12,146.18,146.54,6290535.0,0.0,1.0,122.90051303589047,123.31121515269867,122.52333762249519,122.8250779532114,6290535.0
2017-10-16,147.22,147.67,146.51,146.83,3052091.0,0.0,1.0,123.39503191123094,123.77220732462622,122.79993292565172,123.06814655295504,3052091.0
2017-10-13,147.48,147.85,146.94,147.1,2506200.0,0.0,1.0,123.61295548341488,123.92307748998435,123.16034498734055,123.2944518009922,2506200.0
2017-10-12,147.56,147.89,146.77,147.03,3264344.0,0.0,1.0,123.68000889024073,123.95660419339725,123.01785649783568,123.23578007001962,3264344.0
2017-10-11,148.4,148.47,147.28,147.62,3701264.0,0.0,1.0,124.38406966191192,124.44274139288453,123.44532196635032,123.7302989453601,3701264.0
2017-10-10,147.71,148.95,147.65,148.5,4032184.0,0.0,1.0,123.80573402803915,124.84506183383948,123.75544397291978,124.4678864204442,4032184.0
2017-10-09,146.5,147.79,146.35,147.39,2682556.0,0.0,1.0,122.7915512497985,123.87278743486497,122.66582611200006,123.53752040073583,2682556.0
2017-10-06,146.64,146.85,146.32,146.48,2623174.0,0.0,1.0,122.90889471174368,123.08490990466149,122.64068108444037,122.77478789809203,2623174.0
2017-10-05,146.68,147.54,146.48,146.72,2686539.0,0.0,1.0,122.94242141515662,123.66324553853426,122.77478789809203,122.97594811856952,2686539.0
2017-10-04,147.0,147.02,146.11,146.48,2244033.0,0.0,1.0,123.21063504245993,123.22739839416639,122.46466589152259,122.77478789809203,2244033.0
2017-10-03,146.69,147.1999,146.34,146.78,2302699.0,0.0,1.0,122.95080309100983,123.37818474276598,122.65744443614685,123.0262381736889,2302699.0
2017-10-02,145.35,146.865,145.21,146.66,2973224.0,0.0,1.0,121.82765852667721,123.09748241844134,121.71031506473201,122.92565806345014,2973224.0
2017-09-29,145.45,145.69,144.92,145.08,2654321.0,0.0,1.0,121.91147528520949,122.11263550568698,121.46724646498838,121.60135327864005,2654321.0
2017-09-28,145.33,145.86,144.21,145.66,2774675.0,0.0,1.0,121.81089517497077,122.25512399519188,120.87214747940916,122.0874904781273,2774675.0
